sku,compatible_with,manufacturer
34264-1,,BRACTON
,,
,,
40030073,400 30073 WASHTECH,WASHTECH
,,
,,
40030200,400 30200,WASHTECH
,,
,,
429006,,HOBART
,,
,,
50000064,,RHIMA
,,
,,
50000065,,RHIMA
,,
,,
60040049,,WASHTECH
,,
,,
,,
60040064,600 40064,WASHTECH
,,
,,
,,
70-053,,NORRIS
,,
,,
774072-1,,HOBART
,,
,,
774072-2,,HOBART
,,
,,
77-580,,NORRIS
,,
,,
80373,,NORRIS MADISON
,,
,,
80377,,HOBART
,,
,,
80380,,HOBART
,,
,,
926131,,HOBART
,,
,,
926132,,HOBART
,,
,,
926133,,HOBART
,,
,,
927068,,HOBART
,,
,,
993031,99.30.31 SMARTWASH,HOBART
,,
,,
A-1915,,ESWOOD
,,
,,
A-1917-1,,ESWOOD
,,
,,
A-2452,,ESWOOD
,,
,,
B-1108,,ESWOOD
,,
,,
B-1791-1,,ESWOOD
,,
,,
C200359,,WASHTECH
,,
,,
C450218,,WASHTECH
,,
DAS265,129019 HOBART,HOBART
,,
,,
12111971,,FAGOR
,,
,,
Q152016,"Q152016000, 12009829 FAGOR",FAGOR
,,
,,
Z201903,"Z201903000, 12024470 FAGOR",FAGOR
,,
,,
Z211903,"Z211903000, 12024252 FAGOR",FAGOR
,,
,,
136-10-378-OS,,NORRIS
,,
,,
,,
,,
1510,,VARIOUS
,,
,,
,,
,,
324093-1,,HOBART
,,
,,
,,
,,
324093-21,,HOBART
,,
,,
,,
,,
60030327,,WASHTECH
,,
,,
,,
,,
60030508,600 30508,WASHTECH
,,
,,
,,
,,
775854-1,00-775854-001,HOBART
,,
,,
,,
,,
775854-1PT,,HOBART
,,
,,
,,
,,
80627,8.06.27 ESWOOD,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
,,
,,
897662-1,,
,,
C-0450,,ESWOOD
,,
,,
,,
,,
DW2201,,SHARPLINE
,,
,,
,,
,,
C-2316R,,ESWOOD
,,
,,
C-0108-1R,,ESWOOD
,,
,,
C-2314R,,ESWOOD
,,
,,
300138,,LAMBER
,,
,,
01.171020.040,,
,,
,,
301000,,LAMBER
,,
,,
301003,,LAMBER
,,
,,
301018,,LAMBER
,,
,,
49621,,ZANUSSI/ELECTROLUX
,,
,,
130449,"3040850 ANGELO PO, 130449 COMENDA, 50900019 RHIMA",VARIOUS
,,
,,
,,
15812,,VARIOUS
,,
,,
,,
,,
159-4578,,WASHTECH
,,
,,
162-16-533,,NORRIS
,,
,,
162-17-043,,NORRIS
,,
,,
162-55-561,,NORRIS
,,
,,
162-55-932,,NORRIS
,,
,,
162-66-050,,NORRIS
,,
,,
,,
162-77-520,,NORRIS
,,
,,
195070,,HOBART
,,
,,
208010,50900038 RHIMA,HOBART
,,
,,
,,
211002,"80871, 8.08.71 ESWOOD SMARTWASH",HOBART
,,
,,
2281986,,ESWOOD
,,
,,
2889322,,VARIOUS
,,
,,
,,
